ID,ID_DEPARTAMENTO,ACUMULADO_VENTAS,ID_TURNO,ACUMULADO_GANANCIAS
930,1,98.0,111,98.0
931,7,14133.0,112,2044.7
932,9,2225.0,112,415.12
934,10,573.0,112,130.98
933,6,1784.0,112,610.9101
935,1,139.0,112,139.0
936,11,214.0,112,46.7
937,12,133.0,112,44.7497
941,6,778.0,113,209.54
938,17,24.0,112,5.52
939,5,660.0,112,162.5
942,7,10537.0,113,1504.87
943,9,1570.0,113,291.54
950,7,44499.0,114,6699.73
944,5,106.0,113,21.34
945,10,255.0,113,55.84
940,8,788.0,112,145.26
960,6,2129.0,115,682.48
951,8,2189.0,114,399.03
899,14,33.0,108,8.5
946,11,296.0,113,70.78
947,12,84.0,113,28.28
952,11,1033.0,114,229.1366
961,7,22320.0,115,3434.6688
953,9,7590.0,114,1292.58
954,10,2061.0,114,485.87
962,10,767.0,115,164.24
955,17,165.0,114,35.1
956,6,4214.0,114,1250.15
963,11,533.0,115,130.7897
957,12,477.0,114,150.2497
824,15,8.0,101,4.25
964,8,1427.0,115,303.6227
965,9,3462.0,115,995.6325
966,16,17.0,115,16.32
967,12,281.0,115,122.5391
958,1,99.0,114,99.0
959,5,2247.0,114,545.85
968,1,39.0,115,39.0
948,1,6.0,113,6.0
969,17,59.0,115,12.62
949,17,23.0,113,4.74
970,5,884.0,115,189.75
784,14,10.0,97,5.0
825,16,50.0,101,12.17
